,episode,duration,G,loss,gamma,n_step,semi_gradient,alpha
0,25,188,187.0,0.09189243614673615,0.8,3,True,0.001
0,26,201,200.0,0.09445647150278091,0.8,3,True,0.001
0,27,197,196.0,0.08282242715358734,0.8,3,True,0.001
0,28,201,200.0,0.12617577612400055,0.8,3,True,0.001
0,29,201,200.0,0.0640842393040657,0.8,3,True,0.001
0,30,201,200.0,0.21277782320976257,0.8,3,True,0.001
0,31,201,200.0,0.014888850972056389,0.8,3,True,0.001
0,32,201,200.0,0.013029003515839577,0.8,3,True,0.001
0,33,201,200.0,0.02556058205664158,0.8,3,True,0.001
0,34,201,200.0,0.28537046909332275,0.8,3,True,0.001
0,35,201,200.0,0.0274366308003664,0.8,3,True,0.001
0,36,201,200.0,0.017565187066793442,0.8,3,True,0.001
0,37,201,200.0,0.024976568296551704,0.8,3,True,0.001
0,38,201,200.0,0.01454336941242218,0.8,3,True,0.001
0,39,201,200.0,0.08838409185409546,0.8,3,True,0.001
0,40,201,200.0,0.10026394575834274,0.8,3,True,0.001
0,41,201,200.0,0.21732167899608612,0.8,3,True,0.001
0,42,201,200.0,0.012018893845379353,0.8,3,True,0.001
0,43,201,200.0,0.2595115303993225,0.8,3,True,0.001
0,44,201,200.0,0.007695738226175308,0.8,3,True,0.001
0,45,201,200.0,0.009253308176994324,0.8,3,True,0.001
0,46,201,200.0,0.2892455756664276,0.8,3,True,0.001
0,47,201,200.0,0.018360543996095657,0.8,3,True,0.001
0,48,201,200.0,0.020014533773064613,0.8,3,True,0.001
0,49,201,200.0,0.1838260143995285,0.8,3,True,0.001
0,50,201,200.0,0.24710258841514587,0.8,3,True,0.001
0,51,201,200.0,0.33193227648735046,0.8,3,True,0.001
0,52,201,200.0,0.06891624629497528,0.8,3,True,0.001
0,53,201,200.0,0.023132842034101486,0.8,3,True,0.001
0,54,201,200.0,0.24942421913146973,0.8,3,True,0.001
0,55,201,200.0,0.029619943350553513,0.8,3,True,0.001
0,56,201,200.0,0.009509040042757988,0.8,3,True,0.001
0,57,201,200.0,0.03931092470884323,0.8,3,True,0.001
0,58,87,86.0,0.01544781494885683,0.8,3,True,0.001
0,59,201,200.0,0.1083502247929573,0.8,3,True,0.001
0,60,201,200.0,0.017363442108035088,0.8,3,True,0.001
0,61,201,200.0,0.01821216568350792,0.8,3,True,0.001
0,62,201,200.0,0.15958444774150848,0.8,3,True,0.001
0,63,201,200.0,0.04237249866127968,0.8,3,True,0.001
0,64,74,73.0,0.01989631913602352,0.8,3,True,0.001
0,65,201,200.0,0.06688941270112991,0.8,3,True,0.001
0,66,201,200.0,0.28556686639785767,0.8,3,True,0.001
0,67,167,166.0,0.05470771715044975,0.8,3,True,0.001
0,68,184,183.0,0.09774915874004364,0.8,3,True,0.001
0,69,201,200.0,0.038258399814367294,0.8,3,True,0.001
0,70,38,37.0,0.031024252995848656,0.8,3,True,0.001
